A,B,pooled_best_T,pooled_relay,pooled_reverse_relay,n_seeds_a_to_b,n_seeds_b_to_a,n_seeds_total,T_distribution_a_to_b,known_cascade
IFN-beta,IFN-omega,CD8 Naive,0.07416504053471726,0.053529860479258264,5,2,7,"CD8 Naive:2,NK CD56bright:1,MAIT:1,NK:1",False
IL-2,IL-15,NK CD56bright,0.07238270134155528,0.04325072293109699,7,1,8,"NK CD56bright:4,CD8 Memory:1,MAIT:1,CD8 Naive:1",True
IFN-beta,IFN-gamma,CD16 Mono,0.02268996730560571,0.014953758838980287,3,4,7,"CD16 Mono:1,CD4 Naive:1,CD8 Naive:1",False
IFN-omega,IFN-gamma,pDC,0.021330516375772796,0.015303057674902252,4,3,7,"MAIT:1,CD16 Mono:1,cDC:1,pDC:1",False
APRIL,Decorin,CD8 Naive,0.02035120764892781,0.016080448374038193,3,3,6,"CD8 Naive:2,CD4 Naive:1",False
TL1A,IL-12,MAIT,0.02000977979149616,0.017517902659790023,2,3,5,"CD4 Naive:1,MAIT:1",False
IL-27,IL-36-alpha,CD4 Naive,0.01914259612419528,0.011447248473615446,4,4,8,"HSPC:2,CD14 Mono:1,CD4 Naive:1",False
VEGF,IL-20,CD14 Mono,0.01830995065747023,0.016258035936189116,5,1,6,"CD14 Mono:2,ILC:1,CD4 Naive:1,NKT:1",False
IL-2,IFN-gamma,CD8 Naive,0.017593628449869142,0.007872009038181083,4,2,6,"MAIT:1,CD16 Mono:1,CD4 Naive:1,NK:1",False
OSM,IL-9,Treg,0.016431101369365934,0.01119950597414936,2,3,5,"ILC:1,Treg:1",False
IFN-omega,IL-15,CD8 Naive,0.01625531775932518,0.013310378774381954,3,2,5,"cDC:1,NK CD56bright:1,CD8 Naive:1",False
VEGF,IL-17C,MAIT,0.015216374393814475,0.011810515024644702,3,2,5,"MAIT:2,NK CD56bright:1",False
VEGF,Decorin,CD8 Naive,0.014980007704180025,0.013563897290314344,4,2,6,"CD8 Naive:2,Treg:1,CD14 Mono:1",False
IFN-lambda1,IL-27,MAIT,0.013618186310739779,0.012672659622306431,4,2,6,"MAIT:2,CD4 Naive:1,CD8 Naive:1",False
Decorin,IL-8,CD8 Naive,0.013547586721526698,0.007613513725737277,3,5,8,"CD8 Naive:2,CD14 Mono:1",False
APRIL,IL-20,CD14 Mono,0.01353409924643347,0.008190565535573114,4,1,5,"CD14 Mono:3,CD4 Naive:1",False
IL-9,IL-36-alpha,CD4 Naive,0.013450213802833337,0.005872169625929473,4,4,8,"CD4 Naive:2,HSPC:2",False
APRIL,IL-26,CD8 Naive,0.013200884537698888,0.005373132605535223,4,2,6,"CD14 Mono:3,CD8 Naive:1",False
VEGF,IL-22,MAIT,0.013148929852995934,0.01020499240016458,5,1,6,"MAIT:2,CD14 Mono:1,NK CD56bright:1,CD4 Naive:1",False
TNF-alpha,IL-6,CD4 Naive,0.012945331396454662,0.010632169106800576,3,2,5,"CD4 Naive:1,NKT:1,CD14 Mono:1",True
APRIL,VEGF,CD14 Mono,0.012723350409984657,0.009216271548959109,5,1,6,"CD14 Mono:3,CD4 Naive:1,MAIT:1",False
IL-6,Decorin,CD8 Naive,0.012574220687220077,0.00631638160610641,2,3,5,"CD8 Naive:1,CD14 Mono:1",False
IL-35,IL-27,CD8 Naive,0.012349712224144924,0.009234799136490134,3,2,5,"CD4 Naive:1,MAIT:1,CD8 Naive:1",False
IL-9,IL-17C,MAIT,0.011538622498970653,0.011142988513485762,4,1,5,"MAIT:2,CD8 Naive:1,CD14 Mono:1",False
IL-36-alpha,VEGF,CD14 Mono,0.011356194479757633,0.011178361437520152,4,4,8,"CD14 Mono:2,MAIT:1,NK CD56bright:1",False
APRIL,IL-22,MAIT,0.009992798518855962,0.007359311998711035,3,3,6,"CD14 Mono:2,MAIT:1",False
APRIL,IFN-lambda1,pDC,0.009857139081092706,0.005840963286477366,3,3,6,"CD14 Mono:1,MAIT:1,pDC:1",False
TNF-alpha,IL-9,Treg,0.009694415765491916,0.00808095109686595,3,3,6,"Treg:2,CD4 Naive:1",False
IL-9,Decorin,CD8 Naive,0.009355463587789013,0.007472708482812647,3,4,7,"CD8 Naive:1,Treg:1,CD14 Mono:1",False
APRIL,EPO,CD14 Mono,0.009258920492130528,0.00855258159701043,2,3,5,"CD14 Mono:1,CD4 Naive:1",False
APRIL,IL-24,CD14 Mono,0.009005409741642325,0.008850667003786384,2,3,5,"MAIT:1,CD14 Mono:1",False
LT-alpha2-beta1,IL-9,Treg,0.008436375080542954,0.007763950335235374,5,1,6,"Treg:2,ILC:1,CD4 Naive:1,MAIT:1",False
VEGF,IL-9,CD14 Mono,0.008163305477126934,0.007122111576203938,5,2,7,"Treg:2,MAIT:1,CD14 Mono:1,CD4 Naive:1",False
IL-27,VEGF,CD4 Naive,0.008153122165022394,0.004977121754722508,4,3,7,"MAIT:1,CD8 Naive:1,NK CD56bright:1,CD14 Mono:1",False
VEGF,IFN-lambda1,CD8 Naive,0.00808304930063384,0.005947013696230507,5,2,7,"MAIT:2,CD14 Mono:1,CD4 Naive:1,pDC:1",False
IL-35,VEGF,MAIT,0.007997778402140814,0.006444022591276735,3,3,6,"MAIT:1,NKT:1,CD14 Mono:1",False
APRIL,CD30L,CD4 Naive,0.007995227262863398,0.00372202904098583,6,0,6,"CD14 Mono:2,NK CD56bright:1,CD4 Naive:1,MAIT:1,CD8 Naive:1",False
IFN-beta,IL-2,CD8 Naive,0.007950251672531102,0.005772743725915651,3,2,5,"Plasmablast:1,MAIT:1,CD8 Naive:1",False
Noggin,IL-36-alpha,HSPC,0.007909177212373573,0.006183046038945577,1,4,5,MAIT:1,False
GM-CSF,TSLP,NKT,0.007739661879459054,0.006401485891794707,4,1,5,"cDC:1,CD14 Mono:1,HSPC:1,CD8 Naive:1",False
IL-27,CD30L,CD14 Mono,0.007609554683363911,0.004887340243173189,5,3,8,"HSPC:1,ILC:1,CD14 Mono:1,NK CD56bright:1,MAIT:1",False
IL-27,GM-CSF,MAIT,0.007533653143917709,0.0073427087421142675,3,5,8,"CD14 Mono:1,pDC:1,CD8 Naive:1",False
APRIL,IL-36-alpha,CD4 Naive,0.007435217814862801,0.005359740207823051,5,1,6,"CD4 Naive:2,CD14 Mono:2,MAIT:1",False
IL-9,IFN-lambda1,CD8 Naive,0.007405978466255476,0.004381661569887001,2,4,6,"CD14 Mono:1,CD4 Naive:1",False
IL-6,APRIL,CD8 Naive,0.007397429565883253,0.00422797530483507,2,4,6,"CD8 Naive:1,CD14 Mono:1",False
IL-17A,IL-36Ra,NKT,0.007240799378497387,0.005692090558686639,4,1,5,"CD14 Mono:2,ILC:1,NKT:1",False
IL-13,IL-27,MAIT,0.007002706380067971,0.002609132653479545,3,5,8,"MAIT:2,Plasmablast:1",False
IL-27,IL-9,CD4 Naive,0.006424213701474493,0.006321572567358731,5,2,7,"ILC:1,Plasmablast:1,Treg:1,HSPC:1,CD14 Mono:1",False
FasL,IL-27,cDC,0.006414992895496603,0.003942269584090354,2,3,5,"MAIT:1,CD8 Naive:1",False
IL-22,IL-27,MAIT,0.0061376725859981695,0.0058998222689884494,4,2,6,"MAIT:2,CD4 Naive:1,CD8 Naive:1",False
IL-21,IL-27,CD8 Naive,0.006082707876960542,0.004002268217812019,4,2,6,"ILC:1,MAIT:1,CD16 Mono:1,CD8 Naive:1",False
IL-9,APRIL,CD8 Naive,0.00606892183551951,0.005726048844427558,4,3,7,"CD8 Naive:2,NKT:1,CD14 Mono:1",False
IL-6,VEGF,CD4 Naive,0.005691806320303733,0.004455615402392841,2,5,7,"MAIT:1,CD14 Mono:1",False
IL-27,LT-alpha2-beta1,CD8 Naive,0.005575337443213015,0.0053210501027060675,1,4,5,CD4 Naive:1,False
IL-12,IL-27,CD8 Naive,0.005106407001832677,0.003383741057812122,2,4,6,"CD4 Naive:1,MAIT:1",False
IL-9,CD30L,HSPC,0.005033812851424576,0.0036791243848497855,6,2,8,"MAIT:2,CD14 Mono:2,HSPC:1,CD8 Naive:1",False
APRIL,IL-35,CD4 Naive,0.005015274673654688,0.003463961213850439,4,1,5,"CD14 Mono:2,NK CD56bright:1,CD4 Naive:1",False
CD30L,VEGF,CD14 Mono,0.004747655270432389,0.004051059243540152,5,3,8,"MAIT:2,CD14 Mono:2,CD8 Naive:1",False
IL-6,IL-36-alpha,CD4 Naive,0.004432690843283679,0.0023410165606821617,3,4,7,"CD14 Mono:1,CD4 Naive:1,pDC:1",False
IL-6,IL-13,CD4 Naive,0.004051068833854519,0.002214472816384579,5,1,6,"CD4 Naive:2,MAIT:1,CD8 Naive:1,NKT:1",False
IL-27,Noggin,CD14 Mono,0.003969230110782549,0.0029348120508833377,5,3,8,"CD14 Mono:2,ILC:1,NK CD56bright:1,pDC:1",False
APRIL,Noggin,CD8 Naive,0.003959999707801455,0.0032653645457359805,3,3,6,"CD14 Mono:1,NK CD56bright:1,CD4 Naive:1",False
IL-16,IL-8,CD8 Naive,0.003918257223572241,0.0019158753893224777,3,5,8,"CD8 Naive:2,CD14 Mono:1",False
Decorin,IL-27,MAIT,0.003909209515890358,0.0018588010841659752,5,1,6,"CD16 Mono:1,CD14 Mono:1,CD4 Naive:1,MAIT:1,CD8 Naive:1",False
IL-9,OX40L,CD4 Naive,0.003898791359765994,0.003747918482568385,3,3,6,"MAIT:1,CD14 Mono:1,CD4 Naive:1",False
VEGF,IL-13,CD4 Naive,0.003771369198781428,0.0016258871486829586,6,2,8,"CD4 Naive:2,MAIT:1,CD8 Naive:1,CD16 Mono:1,CD14 Mono:1",False
VEGF,Noggin,NK CD56bright,0.0035120098791403976,0.0017791428242755103,7,1,8,"CD14 Mono:2,NK CD56bright:2,ILC:1,CD4 Naive:1,CD8 Naive:1",False
CD30L,IL-17A,CD8 Naive,0.0034719927759868457,0.0021020335034193298,1,4,5,CD14 Mono:1,False
C5a,CD30L,ILC,0.003434549224358562,0.000952260110448675,4,1,5,"ILC:1,CD14 Mono:1,NK CD56bright:1,CD8 Naive:1",False
APRIL,IL-27,MAIT,0.003388844629919398,0.002754159946459497,5,2,7,"CD4 Naive:2,MAIT:2,CD14 Mono:1",False
GM-CSF,APRIL,NKT,0.0033557680620139928,0.0021446204158026613,4,3,7,"CD8 Naive:2,NKT:1,CD14 Mono:1",False
IL-36-alpha,IL-17A,CD8 Naive,0.003151772206839051,0.0013022627762232376,2,3,5,CD8 Naive:2,False
APRIL,IL-13,CD4 Naive,0.0027551401723090027,0.001621959124929864,4,2,6,"MAIT:2,CD14 Mono:1,CD4 Naive:1",False
IL-36Ra,IL-27,MAIT,0.002652012860671174,0.0008362584325385427,4,1,5,"CD14 Mono:1,MAIT:1,CD4 Naive:1,CD8 Naive:1",False
VEGF,IL-4,NKT,0.002511023145748049,0.0005982393941371459,7,1,8,"NKT:2,CD4 Naive:1,CD14 Mono:1,MAIT:1,NK CD56bright:1,CD16 Mono:1",False
APRIL,FasL,CD4 Naive,0.002346165209680568,0.0015590216357129801,4,2,6,"CD14 Mono:1,NK CD56bright:1,CD8 Naive:1,CD4 Naive:1",False
IL-27,IL-6,CD4 Naive,0.0023391369430381934,0.0021743688117711016,5,1,6,"CD14 Mono:2,CD16 Mono:1,CD8 Memory:1,CD4 Naive:1",False
IL-19,APRIL,MAIT,0.0023255766295425776,0.0013382791736162333,3,3,6,"CD14 Mono:1,CD4 Naive:1,CD8 Naive:1",False
IL-27,IL-4,NKT,0.002298218300656076,0.00043633971513852516,5,2,7,"CD8 Naive:1,CD14 Mono:1,MAIT:1,NK CD56bright:1,NK:1",False
IFN-lambda1,IL-6,CD8 Naive,0.0022933437805599207,0.0021943683915837085,0,5,5,,False
GITRL,APRIL,MAIT,0.002273012937128371,0.00129316098649997,3,2,5,"CD14 Mono:1,CD8 Naive:1,CD4 Naive:1",False
APRIL,EGF,CD8 Naive,0.00212710238479121,0.0019343407359446467,2,4,6,"CD14 Mono:1,CD8 Naive:1",False
VEGF,IL-19,NK CD56bright,0.0020109503722521337,0.0010541783520956471,4,3,7,"NK CD56bright:2,ILC:1,CD4 Naive:1",False
GM-CSF,TL1A,NK CD56bright,0.001997509810908918,0.0016091569714471315,5,2,7,"CD8 Naive:2,NK CD56bright:1,ILC:1,HSPC:1",False
VEGF,EGF,NK CD56bright,0.0019407615008983636,0.001898826046519702,5,3,8,"NK CD56bright:2,HSPC:1,CD14 Mono:1,CD4 Naive:1",False
IL-19,CD40L,cDC,0.0017365306369640557,0.0013058852639238438,5,1,6,"NK CD56bright:1,CD14 Mono:1,CD4 Naive:1,CD16 Mono:1,CD8 Naive:1",False
VEGF,GM-CSF,CD4 Naive,0.001635369262591738,0.0015818994147376898,1,6,7,CD14 Mono:1,False
IL-36Ra,VEGF,MAIT,0.0014614968358574627,0.000825108908365575,2,3,5,"CD14 Mono:1,MAIT:1",False
Decorin,IL-16,CD16 Mono,0.0013800442084030522,0.00038232571677107477,5,3,8,"NKT:2,CD8 Naive:2,CD16 Mono:1",False
APRIL,IL-36Ra,NKT,0.0012997829531158917,0.0009016052974597914,2,4,6,"CD14 Mono:1,NKT:1",False
CD27L,IL-27,CD14 Mono,0.0012640009600020186,0.00032275008785065753,2,4,6,"CD14 Mono:1,CD8 Naive:1",False
C5a,IL-36-alpha,CD4 Naive,0.0012040452842689375,0.0010353773468482297,5,1,6,"CD4 Naive:2,CD16 Mono:1,CD14 Mono:1,HSPC:1",False
IL-16,APRIL,MAIT,0.0011769226052705762,0.0007839566136346577,3,2,5,"CD14 Mono:1,CD8 Naive:1,CD4 Naive:1",False
TL1A,IL-13,CD14 Mono,0.0011296838107042442,0.0006123144924134087,2,3,5,"Plasmablast:1,CD14 Mono:1",False
VEGF,IL-21,NKT,0.0010722806483956092,0.0005586518219171513,5,2,7,"CD16 Mono:1,CD14 Mono:1,CD4 Naive:1,NKT:1,CD8 Naive:1",False
VEGF,GITRL,NKT,0.0010230063942062919,0.0006874275130632197,1,4,5,CD8 Naive:1,False
GM-CSF,IL-17A,NKT,0.00086699520395099,0.0005084418904758303,4,2,6,"CD8 Naive:3,CD14 Mono:1",False
APRIL,IL-4,NKT,0.000863108975021571,0.00014950586105019444,5,2,7,"MAIT:1,CD14 Mono:1,pDC:1,NK CD56bright:1,NKT:1",False
IL-12,IL-9,CD4 Naive,0.0008452150018904685,0.00016821020721256318,2,5,7,"CD4 Naive:1,HSPC:1",False
IL-16,VEGF,MAIT,0.0007881107868488509,0.00021306597647514192,2,4,6,"CD14 Mono:1,CD4 Naive:1",False
IL-19,IL-9,ILC,0.0007511853722555806,0.0004564800972396217,1,4,5,ILC:1,False
IL-9,GITRL,NKT,0.0007425608859224462,0.0003112040717304314,5,0,5,"CD8 Naive:2,NK CD56bright:1,CD14 Mono:1,Plasmablast:1",False
CD27L,IL-9,CD4 Naive,0.0005628260112047787,0.00039849026813016427,1,4,5,CD4 Naive:1,False
IL-9,IL-16,NKT,0.0005512685807266545,0.00014055925238170452,5,1,6,"CD8 Naive:3,NKT:1,CD14 Mono:1",False
Noggin,CD40L,NK,0.0004486945662324564,0.00016288422358423416,4,1,5,"CD14 Mono:1,CD4 Naive:1,CD16 Mono:1,CD8 Naive:1",False
APRIL,CD27L,NKT,0.00038438106153540827,0.00014135350297228154,4,1,5,"CD14 Mono:2,CD8 Naive:2",False
IL-16,IL-6,CD16 Mono,0.00036773657962862403,0.00030074758485700394,3,3,6,"MAIT:1,CD16 Mono:1,NKT:1",False
CT-1,APRIL,MAIT,0.00034017866121853404,0.00023197664690458885,2,3,5,"CD14 Mono:1,CD8 Naive:1",False
IL-12,IL-6,NKT,0.00030272849438692657,0.00013872718630698186,2,4,6,NKT:2,False
IL-6,Noggin,CD14 Mono,0.00029792931155251805,0.00019490458110450209,3,2,5,"ILC:1,CD14 Mono:1,pDC:1",False
IL-36Ra,IL-6,NKT,0.0002576162808207164,8.409432665884415e-05,2,3,5,"NKT:1,CD14 Mono:1",False
CD27L,VEGF,MAIT,0.00023457907650093575,0.00014738931607888306,1,4,5,CD14 Mono:1,False
APRIL,IL-12,CD4 Naive,0.000228806550799251,4.105195916148083e-05,6,1,7,"CD4 Naive:2,NK CD56bright:2,CD14 Mono:1,CD8 Naive:1",False
VEGF,CT-1,NK CD56bright,0.0002070863868325389,9.572694247350614e-05,5,3,8,"NK CD56bright:2,HSPC:1,CD8 Naive:1,CD4 Naive:1",False
TL1A,APRIL,MAIT,0.00019601276512093516,0.00017778050189717402,1,4,5,CD14 Mono:1,False
IL-36-alpha,TL1A,NK CD56bright,0.00019301450026978537,0.0001850344065047078,5,1,6,"CD14 Mono:2,CD8 Naive:2,NK CD56bright:1",False
APRIL,IL-21,CD4 Naive,0.0001713361675037208,0.00014651556361368348,4,2,6,"CD14 Mono:1,CD4 Naive:1,pDC:1,CD8 Naive:1",False
IL-12,VEGF,CD16 Mono,0.0001246787904765311,0.00012396354210547392,5,3,8,"CD4 Naive:2,CD14 Mono:1,NKT:1,cDC:1",False
IL-15,APRIL,CD14 Mono,1.8895462099921997e-06,4.412332986371421e-07,1,4,5,CD14 Mono:1,False
IL-9,IL-15,NKT,1.7785380888073896e-06,3.605855952306186e-07,5,1,6,"NK CD56bright:1,Plasmablast:1,NKT:1,MAIT:1,CD8 Naive:1",False
VEGF,IL-15,NK,6.127243230904484e-07,1.765593877629706e-07,4,2,6,"MAIT:2,NK:1,cDC:1",False
