axis_a,axis_b,a_to_b_label,a_to_b_rule_id,a_to_b_quote,a_to_b_n_primary,a_to_b_n_secondary,b_to_a_label,b_to_a_rule_id,b_to_a_quote,b_to_a_n_primary,b_to_a_n_secondary,pair_status,expected_sign,audit_direction,original_direction,tag_changed,counts_in_benchmark
CD30L,IL-17A,POSITIVE_STRONG,R1,CD30 stimulation directly induces IL-17 production in human cells,2,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
CD30L,IL-27,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,no direct evidence found that IL-27 induces CD30L/TNFSF8 expression on monocytes,0,0,UNKNOWN,,,no_lit,False,False
CD30L,IL-9,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,no published evidence IL-9 induces CD30L expression on HSPCs,0,0,UNKNOWN,,,no_lit,False,False
CD30L,VEGF,UNKNOWN,R4,no clear literature was found establishing CD30L→VEGF induction in CD14+ monocytes,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
Decorin,IL-16,UNKNOWN,R4,no published evidence found linking decorin to IL-16 induction,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
Decorin,IL-27,UNKNOWN,R4,no direct evidence was found linking decorin to IL-27 induction,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
Decorin,IL-6,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_WEAK,R2,IL-6 directly induces decorin mRNA in human endothelial cells in a dose-dependent manner,1,0,WEAK_b_to_a,-1,,a_to_b,False,False
Decorin,IL-9,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,No literature found linking IL-9 to decorin expression in immune cells,0,0,UNKNOWN,,,no_lit,False,False
Decorin,VEGF,POSITIVE_WEAK,R2,decorin induces VEGF and modulates VEGFR2,1,1,INHIBITORY,R3,VEGF participates in decorin down-regulation (autocrine feedback) rather than induction,1,1,PARTIAL_INHIBITORY,,,b_to_a,False,False
GM-CSF,IL-17A,POSITIVE_WEAK,R2,GM-CSF promotes Th17 cell survival and IL-17 production in autoimmunity,1,1,POSITIVE_WEAK,R2,the canonical direction is Th17→GM-CSF; the relationship is bidirectional in autoimmune feedback loops,1,1,LOW_CONFIDENCE,,,bidir,False,False
GM-CSF,IL-27,UNKNOWN,R4,(direction not mentioned in summary),0,0,INHIBITORY,R3,"IL-27 is a robust SUPPRESSOR of GM-CSF in T cells (STAT1-dependent), well documented in EAE and CNS inflammation",2,0,PARTIAL_INHIBITORY,,,b_to_a,False,False
GM-CSF,TL1A,POSITIVE_STRONG,R1,"GM-CSF induces TL1A (Tnfsf15) expression in macrophages, demonstrated in intestinal inflammation models",1,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
GM-CSF,VEGF,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,No literature describes VEGF inducing GM-CSF in CD4 naive T cells,0,0,UNKNOWN,,,no_lit,False,False
IFN-beta,IFN-gamma,INHIBITORY,R3,in CD4+ T cells it can suppress IFN-gamma,1,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,PARTIAL_INHIBITORY,,,coregulated_other,False,False
IFN-beta,IFN-omega,UNKNOWN,R4,IFN-beta is not documented as a direct upstream inducer of IFN-omega in CD8 T cells,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,bidir,False,False
IFN-beta,IL-2,POSITIVE_WEAK,R2,Type-I IFNs (IFN-α/β) act as 'signal 3' on CD8 T cells; IFN-α subtypes induce significantly higher frequencies of IL-2-expressing CD8+ T cells,0,2,UNKNOWN,R4,(direction not mentioned in summary),0,0,WEAK_a_to_b,1,,a_to_b,False,False
IFN-gamma,IFN-omega,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R1,IFN-omega specifically enhances cytolytic CD8+ T cell IFN-gamma responses,2,1,DIRECTIONAL_b_to_a,-1,b_to_a,a_to_b,True,True
IFN-gamma,IL-2,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R1,IL-2 is well-established to induce IFN-gamma production in CD8+ T cells via STAT5/T-bet signaling,1,1,DIRECTIONAL_b_to_a,-1,b_to_a,a_to_b,True,True
IFN-lambda1,IL-27,UNKNOWN,R4,No direct evidence found that IFN-lambda1 (IL-29) induces IL-27 in MAIT or other immune cells,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
IFN-lambda1,IL-6,POSITIVE_STRONG,R1,"IL-29/IFN-λ1 up-regulates IL-6 production in PBMCs, macrophages, and synovial fibroblasts",1,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
IFN-lambda1,IL-9,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,No published evidence IL-9 induces IFN-λ1 in CD8 T cells,0,0,UNKNOWN,,,no_lit,False,False
IFN-lambda1,VEGF,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,no published evidence found for VEGF induction of IFN-lambda1 (IL-29) in CD8 or any immune cell type,0,0,UNKNOWN,,,no_lit,False,False
IFN-omega,IL-15,POSITIVE_STRONG,R1,"Type I interferons (including IFN-omega, signaling through the same IFNAR receptor as IFN-alpha/beta) upregulate IL-15 expression in vitro and in vivo",3,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
IL-12,IL-27,UNKNOWN,R4,IL-12 does not directly induce IL-27 expression,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,bidir,False,False
IL-12,IL-6,UNKNOWN,R4,no published evidence that IL-12 induces IL-6 production in NKT cells,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
IL-12,IL-9,POSITIVE_WEAK,R2,IL-12 is listed among cytokines that can increase IL-9 production from CD4+ T cells under certain conditions,1,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,WEAK_a_to_b,1,,partial_lit,False,False
IL-12,TL1A,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,TL1A does not directly induce IL-12 expression,0,0,UNKNOWN,,,coregulated_other,False,False
IL-12,VEGF,INHIBITORY,R3,the documented cascade is IL-12 inhibiting (not inducing) VEGF,1,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,PARTIAL_INHIBITORY,,,b_to_a,False,False
IL-13,IL-27,UNKNOWN,R4,(direction not mentioned in summary),0,0,INHIBITORY,R3,IL-27 is documented to suppress Th2 responses (including IL-13 production),1,1,PARTIAL_INHIBITORY,,,b_to_a,False,False
IL-13,IL-6,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,No direct mechanistic study of IL-6 inducing IL-13 transcription in naive CD4 T cells,0,0,UNKNOWN,,,partial_lit,False,False
IL-13,TL1A,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R1,TL1A/TNFSF15 drives IL-13 production primarily from ILC2s and Th2/Th9 cells,1,1,DIRECTIONAL_b_to_a,-1,b_to_a,coregulated_other,False,True
IL-13,VEGF,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R1,VEGF induces IL-13-dependent asthma-like phenotype in transgenic mice,3,0,DIRECTIONAL_b_to_a,-1,b_to_a,a_to_b,True,True
IL-15,IL-2,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R5,Pre-registered KNOWN_CASCADE,0,0,DIRECTIONAL_b_to_a,-1,b_to_a,b_to_a,False,True
IL-15,IL-9,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,no evidence IL-9 induces IL-15 production,0,0,UNKNOWN,,,no_lit,False,False
IL-15,VEGF,POSITIVE_STRONG,R1,IL-15 signaling via JAK-STAT5 drives VEGF-A expression in NK cells,1,1,UNKNOWN,R4,No published evidence VEGF induces IL-15,0,0,DIRECTIONAL_a_to_b,1,a_to_b,b_to_a,True,True
IL-16,IL-6,POSITIVE_STRONG,R1,"IL-16 stimulation of CD14+ CD4+ monocytes/maturing macrophages induces IL-1b, IL-6, IL-15, and TNF-alpha production",1,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
IL-16,IL-9,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_WEAK,R2,IL-9 acts on bronchial epithelial cells (BEAS-2B) in vitro to induce the T-cell chemoattractants IL-16 and RANTES,1,1,WEAK_b_to_a,-1,,a_to_b,False,False
IL-16,VEGF,UNKNOWN,R4,No clear evidence of IL-16 inducing VEGF expression in immune cells,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
IL-17A,IL-36-alpha,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R1,IL-36 (including IL-36alpha) activates Th17 cells and induces IL-17A expression,2,1,DIRECTIONAL_b_to_a,-1,b_to_a,a_to_b,True,True
IL-27,IL-35,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,R4,A→B direction (IL-35 inducing IL-27) is not explicitly documented,0,0,UNKNOWN,,,coregulated_other,False,False
IL-27,IL-36-alpha,UNKNOWN,R4,no published evidence shows IL-27 induces IL-36α expression,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
IL-27,IL-6,POSITIVE_WEAK,R2,IL-27 has been shown to augment TNF-alpha-induced IL-6 production in epithelial cells,1,1,POSITIVE_WEAK,R2,"the IL-6/IL-27 axis is well-documented bidirectional within the gp130 cytokine family, with both directions reported",1,1,LOW_CONFIDENCE,,,a_to_b,False,False
IL-27,IL-9,INHIBITORY,R3,IL-27 is a well-documented SUPPRESSOR of Th9 differentiation and IL-9 production in naive CD4+ T cells,0,2,UNKNOWN,R4,(direction not mentioned in summary),0,0,PARTIAL_INHIBITORY,,,b_to_a,False,False
IL-27,VEGF,INHIBITORY,R3,IL-27 INHIBITS VEGF expression via STAT1 signaling and has documented anti-angiogenic properties,0,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,PARTIAL_INHIBITORY,,,b_to_a,False,False
IL-35,VEGF,POSITIVE_WEAK,R2,Tumor-derived IL-35 promotes VEGF secretion and angiogenesis via STAT3 activation in myeloid cells,3,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,WEAK_a_to_b,1,,a_to_b,False,False
IL-36-alpha,IL-6,POSITIVE_WEAK,R2,"IL-36-alpha induces IL-6 (in fibroblasts and synovial cells, via MyD88/NF-kB)",0,2,UNKNOWN,R4,IL-6 inducing IL-36-alpha is not the documented cascade,0,0,WEAK_a_to_b,1,,b_to_a,False,False
IL-36-alpha,IL-9,POSITIVE_STRONG,R1,IL-36 signaling (via IL-36R/MyD88/NF-kB) drives Th9 differentiation and IL-9 production in CD4+ T cells,2,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,b_to_a,True,True
IL-36-alpha,TL1A,UNKNOWN,R4,no published evidence IL-36α induces TL1A in NK CD56bright cells,0,0,UNKNOWN,R4,(direction not mentioned in summary),0,0,UNKNOWN,,,no_lit,False,False
IL-36-alpha,VEGF,POSITIVE_STRONG,R1,IL-36 family upregulates VEGFs and VEGFR2/3 in monocyte-rich inflammatory milieus (psoriasis),2,1,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
IL-6,TNF-alpha,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_STRONG,R5,Pre-registered KNOWN_CASCADE,0,0,DIRECTIONAL_b_to_a,-1,b_to_a,b_to_a,False,True
IL-6,VEGF,POSITIVE_STRONG,R1,IL-6 is a well-established inducer of VEGF expression via trans-signaling and STAT3 activation,1,2,UNKNOWN,R4,(direction not mentioned in summary),0,0,DIRECTIONAL_a_to_b,1,a_to_b,a_to_b,False,True
IL-9,TNF-alpha,UNKNOWN,R4,(direction not mentioned in summary),0,0,POSITIVE_WEAK,R2,TNF-alpha potently promotes Th9 cell differentiation and IL-9 production through TNFR2-dependent pathways,0,2,WEAK_b_to_a,-1,,a_to_b,False,False
IL-9,VEGF,POSITIVE_STRONG,R1,IL-9 induces VEGF secretion from mast cells,1,0,UNKNOWN,R4,No evidence VEGF induces IL-9 in monocytes,0,0,DIRECTIONAL_a_to_b,1,a_to_b,b_to_a,True,True
